idx_type,date,value
scs,2015-03-01,99.710746452134
pzua,2015-03-01,4.9
ins,2015-03-01,35.7
unw,2015-03-01,61.3
scg,2015-03-01,103.333333333333
sch,2015-06-01,100.5
scs,2015-06-01,99.3850228362412
pzua,2015-06-01,3.5
ins,2015-06-01,38.3
unw,2015-06-01,58.7
scg,2015-06-01,101.083333333333
sch,2015-09-01,94.9
scs,2015-09-01,94.4805642833361
pzua,2015-09-01,3.6
ins,2015-09-01,34.8
unw,2015-09-01,56.4
scg,2015-09-01,97.9333333333333
sch,2015-12-01,92.2
scs,2015-12-01,95.5709910679018
pzua,2015-12-01,2.7
ins,2015-12-01,33.6
unw,2015-12-01,55.8
scg,2015-12-01,94.4833333333334
sch,2016-03-01,105.452018790168
scs,2016-03-01,103.742754297657
pzua,2016-03-01,3
ins,2016-03-01,39.4
unw,2016-03-01,63.1
scg,2016-03-01,99.276009395084
sch,2016-06-01,106.4
scs,2016-06-01,104.673014490927
pzua,2016-06-01,3.3
ins,2016-06-01,43.6
unw,2016-06-01,59.5
scg,2016-06-01,103.717339596723
sch,2016-09-01,103.3
scs,2016-09-01,103.160636779185
pzua,2016-09-01,3.9
ins,2016-09-01,39.6
unw,2016-09-01,59.8
scg,2016-09-01,104.692003131695
sch,2016-12-01,100.3
scs,2016-12-01,103.59707295249
pzua,2016-12-01,2.6
ins,2016-12-01,38
unw,2016-12-01,59.7
scg,2016-12-01,102.316666666667
sch,2017-03-01,110.3
scs,2017-03-01,109.258004189906
pzua,2017-03-01,3
ins,2017-03-01,44.6
unw,2017-03-01,62.7
scg,2017-03-01,105.8
sch,2017-06-01,103.7
scs,2017-06-01,101.382401595644
pzua,2017-06-01,2.3
ins,2017-06-01,37.7
unw,2017-06-01,63.6
scg,2017-06-01,105.333333333333
sch,2017-09-01,109.7
scs,2017-09-01,109.729159320447
pzua,2017-09-01,2.5
ins,2017-09-01,40.6
unw,2017-09-01,66.6
scg,2017-09-01,107.8
sch,2017-12-01,108.9
scs,2017-12-01,112.150844335398
pzua,2017-12-01,2.1
ins,2017-12-01,38.7
unw,2017-12-01,68.1
scg,2017-12-01,108.3
sch,2018-03-01,110.4
scs,2018-03-01,110.294605693649
pzua,2018-03-01,2.5
ins,2018-03-01,37.6
unw,2018-03-01,70.3
scg,2018-03-01,109.783333333333
sch,2018-06-01,113.8
scs,2018-06-01,110.496160370063
ins,2018-06-01,43
unw,2018-06-01,70.8
scg,2018-06-01,111.85
sch,2018-09-01,116.1
scs,2018-09-01,116.240493701511
ins,2018-09-01,41.2
unw,2018-09-01,74.9
scg,2018-09-01,114.383333333333
sch,2018-12-01,118.5
scs,2018-12-01,121.753243535668
ins,2018-12-01,40.3
unw,2018-12-01,78.2
scg,2018-12-01,116.916666666667
sch,2019-03-01,114.7
scs,2019-03-01,115.45292574546
ins,2019-03-01,38.8
unw,2019-03-01,75.9
scg,2019-03-01,116.2
sch,2019-06-01,124.9
scs,2019-06-01,120.683442939361
ins,2019-06-01,40.6
unw,2019-06-01,84.3
scg,2019-06-01,120.433333333333
sch,2019-09-01,118
scs,2019-09-01,118.071681543498
ins,2019-09-01,37.9
unw,2019-09-01,80.1
scg,2019-09-01,119.75
sch,2019-12-01,115.8
scs,2019-12-01,118.791092096817
ins,2019-12-01,35.9
unw,2019-12-01,79.9
scg,2019-12-01,118.05
sch,2020-03-01,124.5
scs,2020-03-01,126.086075959267
ins,2020-03-01,36.4
unw,2020-03-01,88.1
scg,2020-03-01,120.516666666667
